epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1831.26,2.09087,1.54465,2.01523,0.48169,0.53435,0.50772,0.2377,1.90917,1.47526,1.95365,0.0011882,0.0011882,0.0011882
43,1875.01,2.06902,1.52481,2.01127,0.65175,0.51729,0.59541,0.27808,1.81789,1.42863,1.88206,0.0011684,0.0011684,0.0011684
44,1918.9,2.06012,1.51812,1.97949,0.66095,0.59786,0.64064,0.31096,1.81999,1.43703,1.89197,0.0011486,0.0011486,0.0011486
45,1962.43,2.05143,1.51285,2.0238,0.71945,0.57461,0.65962,0.33158,1.80571,1.35139,1.89057,0.0011288,0.0011288,0.0011288
46,2006.11,2.00225,1.527,1.99689,0.69189,0.57162,0.64592,0.32741,1.78526,1.39774,1.86912,0.001109,0.001109,0.001109
47,2049.8,1.97686,1.50668,1.95981,0.70413,0.60305,0.67339,0.32504,1.78797,1.38191,1.8478,0.0010892,0.0010892,0.0010892
48,2093.02,2.02846,1.58155,2.03344,0.70507,0.51774,0.61003,0.28249,1.93335,1.46825,1.95503,0.0010694,0.0010694,0.0010694
49,2136.12,1.99045,1.51318,1.9681,0.69256,0.52896,0.61053,0.27729,1.9756,1.44085,1.99236,0.0010496,0.0010496,0.0010496
50,2180.12,2.01946,1.46298,1.96117,0.63132,0.59898,0.6206,0.29223,1.83702,1.45072,1.89972,0.0010298,0.0010298,0.0010298
51,2223.35,2.01087,1.48899,1.95209,0.7135,0.57342,0.65924,0.3238,1.78878,1.34632,1.87614,0.00101,0.00101,0.00101
52,2267.08,1.99023,1.48269,1.95333,0.64405,0.55004,0.6321,0.32536,1.74882,1.36816,1.82541,0.0009902,0.0009902,0.0009902
53,2310.36,1.93172,1.37927,1.88891,0.70567,0.61114,0.68501,0.34855,1.70937,1.31341,1.79643,0.0009704,0.0009704,0.0009704
54,2354.01,1.94684,1.4297,1.94908,0.71942,0.64302,0.70276,0.36016,1.70752,1.26551,1.78098,0.0009506,0.0009506,0.0009506
55,2396.8,1.97216,1.41066,1.90417,0.67639,0.57162,0.63232,0.2999,1.84797,1.32676,1.86707,0.0009308,0.0009308,0.0009308
56,2439.96,1.91703,1.40812,1.88472,0.74211,0.60343,0.70388,0.3435,1.75707,1.27164,1.82419,0.000911,0.000911,0.000911
