epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5851,3.835,3.55257,4.22713,0.00856,0.13702,0.008,0.0029,3.55998,3.58126,4.15551,0.00026,0.00026,0.00026
2,115.895,3.73372,3.18027,4.12413,0.00853,0.1384,0.00918,0.00335,3.55979,3.62889,4.14662,0.000537327,0.000537327,0.000537327
3,173.584,3.57614,2.88109,3.93236,0.0082,0.13729,0.01073,0.00359,3.5779,3.79678,4.16525,0.000811882,0.000811882,0.000811882
4,230.799,3.42218,2.67802,3.67254,0.00876,0.14834,0.007,0.00297,3.62252,4.08135,4.23194,0.00108366,0.00108366,0.00108366
5,287.15,3.34521,2.56849,3.41332,0.00795,0.14227,0.00623,0.0025,3.63676,3.94499,4.1797,0.00135268,0.00135268,0.00135268
6,343.857,3.22834,2.51519,3.25805,0.04632,0.02707,0.00838,0.00333,3.70942,4.31465,4.34197,0.00161892,0.00161892,0.00161892
7,399.736,3.23249,2.46231,3.13333,0.05486,0.03011,0.01375,0.0048,3.76456,4.81281,4.17404,0.00188238,0.00188238,0.00188238
8,456.714,3.14897,2.3743,3.00509,0.04137,0.03398,0.01404,0.00514,3.61508,5.34443,4.13608,0.0019307,0.0019307,0.0019307
9,513.898,3.07707,2.33887,2.91461,0.05411,0.02376,0.01621,0.00604,3.77333,4.21027,4.13641,0.0019208,0.0019208,0.0019208
10,570.785,3.00487,2.23347,2.79427,0.03895,0.04254,0.00994,0.00388,3.81731,4.69695,4.1458,0.0019109,0.0019109,0.0019109
11,627.618,2.95564,2.25199,2.75726,0.04753,0.05773,0.01521,0.00577,3.62786,6.59892,4.1684,0.001901,0.001901,0.001901
12,684.436,2.88983,2.19289,2.66594,0.03711,0.12624,0.02766,0.01063,3.37014,8.989,3.81945,0.0018911,0.0018911,0.0018911
13,743.032,2.90299,2.24818,2.70951,0.19883,0.25525,0.12376,0.04068,2.72064,2.77956,2.77225,0.0018812,0.0018812,0.0018812
14,800.061,2.77075,2.18034,2.65545,0.17572,0.30552,0.12106,0.04275,2.70183,3.72481,2.74714,0.0018713,0.0018713,0.0018713
15,860.084,2.72737,2.09993,2.55142,0.33115,0.32762,0.24336,0.06975,2.61139,3.44746,2.72642,0.0018614,0.0018614,0.0018614
16,918.764,2.68391,2.0517,2.48181,0.21262,0.21796,0.1302,0.05054,2.58511,2.8372,2.66497,0.0018515,0.0018515,0.0018515
17,978.661,2.59735,1.93747,2.37748,0.4625,0.41851,0.40225,0.14293,2.36627,2.32326,2.39263,0.0018416,0.0018416,0.0018416
18,1038.18,2.55938,1.95506,2.39276,0.45352,0.39339,0.38635,0.1423,2.35374,2.3775,2.40953,0.0018317,0.0018317,0.0018317
19,1098.65,2.50597,1.91435,2.34834,0.4955,0.41159,0.39758,0.15018,2.35162,2.29311,2.32827,0.0018218,0.0018218,0.0018218
20,1156.52,2.43233,1.91425,2.3421,0.43767,0.4105,0.38288,0.15069,2.30492,2.2965,2.33264,0.0018119,0.0018119,0.0018119
21,1214.53,2.40116,1.85744,2.31176,0.56225,0.38923,0.41472,0.16743,2.32646,2.09531,2.3496,0.001802,0.001802,0.001802
22,1273.41,2.44288,1.91208,2.33106,0.52152,0.41326,0.4234,0.16915,2.2909,1.9056,2.34861,0.0017921,0.0017921,0.0017921
23,1331.53,2.3278,1.84752,2.22939,0.5704,0.46287,0.47683,0.19816,2.25814,1.8568,2.23362,0.0017822,0.0017822,0.0017822
24,1390.18,2.28948,1.7488,2.20927,0.57013,0.49254,0.51484,0.20322,2.22923,1.96797,2.27255,0.0017723,0.0017723,0.0017723
25,1448.23,2.23429,1.72036,2.17371,0.63165,0.53293,0.58169,0.24921,2.08945,1.97634,2.15207,0.0017624,0.0017624,0.0017624
26,1507.84,2.23879,1.70658,2.15868,0.61243,0.53536,0.57134,0.24435,2.09531,1.7208,2.12509,0.0017525,0.0017525,0.0017525
27,1565.6,2.26037,1.66007,2.11862,0.63411,0.54006,0.57927,0.23884,2.11547,1.6801,2.16757,0.0017426,0.0017426,0.0017426
28,1624.55,2.20557,1.69152,2.12186,0.58753,0.52707,0.54196,0.23413,2.09737,1.80626,2.105,0.0017327,0.0017327,0.0017327
29,1682.95,2.17339,1.63663,2.10217,0.6216,0.5337,0.5748,0.24708,2.06039,1.74576,2.07588,0.0017228,0.0017228,0.0017228
30,1741.17,2.15001,1.61301,2.06594,0.66757,0.55529,0.609,0.27077,2.03709,1.59425,2.07466,0.0017129,0.0017129,0.0017129
31,1799.13,2.14376,1.63372,2.09129,0.67042,0.55166,0.62082,0.27064,2.03737,1.60036,2.04891,0.001703,0.001703,0.001703
32,1857.5,2.15358,1.61477,2.07847,0.70761,0.5895,0.66497,0.29409,2.00103,1.61193,2.03083,0.0016931,0.0016931,0.0016931
33,1914.9,2.11209,1.57492,2.003,0.7028,0.58859,0.66169,0.30363,1.97416,1.52763,1.9873,0.0016832,0.0016832,0.0016832
34,1973.05,2.10428,1.56951,2.00948,0.66648,0.50912,0.58647,0.25553,2.12644,1.64992,2.11451,0.0016733,0.0016733,0.0016733
35,2030.47,2.08913,1.58346,2.03654,0.70264,0.56006,0.63062,0.27125,2.07173,1.53232,2.1014,0.0016634,0.0016634,0.0016634
36,2087.59,2.07975,1.56268,2.03581,0.68075,0.54171,0.61382,0.28314,2.01206,1.53464,2.02434,0.0016535,0.0016535,0.0016535
37,2144.32,1.99699,1.50848,1.96035,0.70978,0.60801,0.6875,0.32952,1.88269,1.46148,1.93043,0.0016436,0.0016436,0.0016436
38,2201.7,1.99591,1.49168,1.92045,0.69591,0.62873,0.68496,0.33249,1.86773,1.48355,1.91696,0.0016337,0.0016337,0.0016337
39,2260.32,1.99502,1.4643,1.93785,0.71256,0.59613,0.68383,0.33175,1.83772,1.52853,1.88139,0.0016238,0.0016238,0.0016238
40,2318.06,1.97108,1.48468,1.91854,0.72093,0.60586,0.7083,0.35439,1.82439,1.39241,1.8849,0.0016139,0.0016139,0.0016139
41,2374.48,1.9182,1.42565,1.89294,0.69044,0.62569,0.70454,0.35252,1.84793,1.37341,1.90036,0.001604,0.001604,0.001604
42,2433.02,1.99326,1.41905,1.87256,0.69748,0.62486,0.69275,0.33523,1.83574,1.40134,1.8802,0.0015941,0.0015941,0.0015941
43,2490.27,1.93403,1.40627,1.88654,0.70992,0.64227,0.71611,0.3523,1.83045,1.39187,1.86576,0.0015842,0.0015842,0.0015842
44,2548.35,1.95974,1.47252,1.89352,0.67372,0.59641,0.65291,0.29662,1.93335,1.50702,1.94637,0.0015743,0.0015743,0.0015743
45,2605.29,1.99674,1.49887,1.9482,0.73711,0.65138,0.72833,0.35143,1.87972,1.40046,1.91797,0.0015644,0.0015644,0.0015644
46,2662.73,1.90165,1.39226,1.86125,0.71502,0.65028,0.72407,0.37484,1.7545,1.31826,1.81404,0.0015545,0.0015545,0.0015545
47,2720.72,1.89609,1.35604,1.8313,0.7291,0.64162,0.72728,0.36703,1.80125,1.31111,1.84232,0.0015446,0.0015446,0.0015446
48,2777.17,1.86327,1.31662,1.83549,0.73912,0.65352,0.7392,0.3758,1.77917,1.28122,1.82647,0.0015347,0.0015347,0.0015347
49,2834.87,1.90038,1.36929,1.85376,0.74283,0.63036,0.71524,0.36015,1.80219,1.32578,1.84632,0.0015248,0.0015248,0.0015248
50,2892.43,1.90388,1.39181,1.83524,0.75744,0.65276,0.74278,0.37534,1.78413,1.26288,1.82124,0.0015149,0.0015149,0.0015149
51,2950.93,1.84466,1.34559,1.83437,0.76022,0.67527,0.75516,0.38776,1.77961,1.2511,1.83278,0.001505,0.001505,0.001505
52,3007.94,1.94158,1.36886,1.86946,0.66775,0.60856,0.65593,0.31196,1.90908,1.37317,1.88992,0.0014951,0.0014951,0.0014951
53,3065.58,1.90767,1.33978,1.8335,0.75612,0.66934,0.75461,0.39257,1.73113,1.35576,1.77421,0.0014852,0.0014852,0.0014852
54,3122.66,1.83778,1.34438,1.83504,0.74597,0.67735,0.75563,0.38693,1.74127,1.31112,1.79473,0.0014753,0.0014753,0.0014753
55,3180.32,1.84872,1.35926,1.82436,0.75569,0.67155,0.74567,0.37621,1.78413,1.22654,1.82347,0.0014654,0.0014654,0.0014654
56,3237.22,1.85287,1.29625,1.80076,0.77135,0.68674,0.77463,0.40195,1.72461,1.20998,1.77433,0.0014555,0.0014555,0.0014555
57,3295.22,1.81897,1.25194,1.75612,0.76061,0.67936,0.7679,0.39357,1.73338,1.24378,1.78067,0.0014456,0.0014456,0.0014456
58,3352.25,1.86937,1.31745,1.81428,0.77615,0.67238,0.76573,0.39458,1.7631,1.20598,1.78781,0.0014357,0.0014357,0.0014357
59,3408.57,1.85184,1.33384,1.79663,0.75102,0.67743,0.74787,0.38531,1.76626,1.21074,1.80904,0.0014258,0.0014258,0.0014258
60,3465.45,1.81626,1.23611,1.74966,0.74268,0.64061,0.7334,0.3749,1.7771,1.22404,1.82329,0.0014159,0.0014159,0.0014159
61,3523.21,1.77777,1.24966,1.75229,0.73228,0.65965,0.7528,0.40824,1.68419,1.22423,1.74825,0.001406,0.001406,0.001406
