epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,1412.75,2.32236,1.7904,2.23212,0.52397,0.48164,0.46839,0.18093,2.17447,2.0547,2.21216,0.0015446,0.0015446,0.0015446
25,1470.77,2.29314,1.81148,2.22408,0.57845,0.49254,0.53406,0.22399,2.1477,1.76323,2.18436,0.0015248,0.0015248,0.0015248
26,1531.05,2.27887,1.7601,2.18872,0.58952,0.48044,0.50964,0.20788,2.16392,1.79714,2.18945,0.001505,0.001505,0.001505
27,1590.78,2.2975,1.68648,2.14294,0.57938,0.50304,0.53504,0.22093,2.1157,2.03545,2.11009,0.0014852,0.0014852,0.0014852
28,1649.17,2.22645,1.7302,2.129,0.60483,0.52099,0.5799,0.26055,2.04771,1.67914,2.08795,0.0014654,0.0014654,0.0014654
29,1707.25,2.17885,1.64711,2.10052,0.62836,0.53564,0.5899,0.2581,2.03471,1.59006,2.08482,0.0014456,0.0014456,0.0014456
30,1766.09,2.16905,1.63833,2.06977,0.64073,0.55166,0.60138,0.25953,2.04998,1.64538,2.08151,0.0014258,0.0014258,0.0014258
31,1824.82,2.17468,1.67095,2.10007,0.64235,0.56989,0.62111,0.28942,1.96187,1.5931,1.99757,0.001406,0.001406,0.001406
32,1883.68,2.16044,1.65978,2.07853,0.66616,0.59037,0.64031,0.27716,1.99497,1.63683,2.01636,0.0013862,0.0013862,0.0013862
33,1941.59,2.13988,1.56046,2.01526,0.65302,0.58039,0.63469,0.28259,1.96183,1.52292,1.98497,0.0013664,0.0013664,0.0013664
34,2000.1,2.08765,1.59755,1.9918,0.66683,0.57942,0.6388,0.29271,1.96799,1.52561,2.00168,0.0013466,0.0013466,0.0013466
35,2058.11,2.04566,1.55465,1.99712,0.69091,0.57818,0.64351,0.29023,1.9467,1.50416,1.99229,0.0013268,0.0013268,0.0013268
36,2115.52,2.06297,1.55148,2.01266,0.68735,0.59515,0.66022,0.31905,1.8862,1.47336,1.92825,0.001307,0.001307,0.001307
37,2172.53,1.99149,1.50997,1.94845,0.68096,0.60663,0.66897,0.31858,1.8997,1.50628,1.94211,0.0012872,0.0012872,0.0012872
38,2231.27,2.02832,1.50015,1.91981,0.67966,0.58508,0.63815,0.28854,2.00733,1.58774,2.00485,0.0012674,0.0012674,0.0012674
39,2290.81,2.02545,1.48055,1.94083,0.64133,0.58343,0.63479,0.29262,1.9099,1.58789,1.91877,0.0012476,0.0012476,0.0012476
40,2349.21,2.0136,1.51278,1.93809,0.69955,0.61436,0.68743,0.32647,1.86931,1.43385,1.90687,0.0012278,0.0012278,0.0012278
41,2406.24,1.96329,1.4555,1.90309,0.63193,0.60718,0.64269,0.31225,1.85655,1.471,1.87931,0.001208,0.001208,0.001208
42,2465.51,2.00244,1.43291,1.8684,0.69344,0.62799,0.68983,0.33951,1.8189,1.40011,1.86241,0.0011882,0.0011882,0.0011882
43,2523.79,1.93746,1.41503,1.8798,0.72666,0.63591,0.72174,0.36281,1.80306,1.38765,1.84852,0.0011684,0.0011684,0.0011684
44,2583.74,1.9718,1.48446,1.90099,0.687,0.59906,0.66079,0.30304,1.91509,1.39503,1.93328,0.0011486,0.0011486,0.0011486
45,2643.87,2.03081,1.52443,1.97104,0.73505,0.64116,0.71943,0.33893,1.83565,1.34424,1.87223,0.0011288,0.0011288,0.0011288
46,2704.48,1.94461,1.40457,1.87385,0.74,0.61851,0.70419,0.3358,1.85228,1.3527,1.89351,0.001109,0.001109,0.001109
47,2766.62,1.91965,1.36494,1.83326,0.72993,0.65403,0.72199,0.35576,1.81092,1.32866,1.83212,0.0010892,0.0010892,0.0010892
48,2827.3,1.89684,1.34972,1.84144,0.75132,0.6558,0.73862,0.37403,1.77122,1.35204,1.80521,0.0010694,0.0010694,0.0010694
49,2888.71,1.91618,1.37328,1.85027,0.75537,0.65387,0.73888,0.36856,1.79069,1.33742,1.82553,0.0010496,0.0010496,0.0010496
50,2949.21,1.91998,1.39425,1.83761,0.74641,0.63729,0.71967,0.358,1.81607,1.33924,1.83065,0.0010298,0.0010298,0.0010298
51,3010.62,1.85287,1.34452,1.82089,0.7612,0.66041,0.74271,0.37746,1.78454,1.27265,1.82714,0.00101,0.00101,0.00101
52,3070.79,1.91247,1.36012,1.84884,0.75585,0.66362,0.74729,0.37836,1.80567,1.26936,1.82469,0.0009902,0.0009902,0.0009902
53,3130.84,1.90872,1.34406,1.82783,0.75993,0.67928,0.76469,0.39804,1.71707,1.24384,1.76939,0.0009704,0.0009704,0.0009704
54,3190.49,1.87608,1.33242,1.84873,0.76967,0.66243,0.75386,0.39558,1.73052,1.24203,1.78961,0.0009506,0.0009506,0.0009506
55,3250.72,1.86286,1.35688,1.81984,0.76456,0.66203,0.7541,0.38942,1.75735,1.26474,1.79424,0.0009308,0.0009308,0.0009308
56,3310.16,1.85616,1.29986,1.78996,0.78053,0.68536,0.77901,0.41328,1.6718,1.18123,1.73548,0.000911,0.000911,0.000911
57,3370.83,1.82011,1.27613,1.75697,0.75806,0.66519,0.75696,0.38955,1.71285,1.20601,1.76518,0.0008912,0.0008912,0.0008912
58,3430.64,1.87234,1.3402,1.79959,0.78463,0.68233,0.78018,0.42182,1.66819,1.19643,1.72224,0.0008714,0.0008714,0.0008714
59,3489.82,1.86232,1.34043,1.80265,0.77514,0.65707,0.75752,0.40521,1.71266,1.21627,1.77624,0.0008516,0.0008516,0.0008516
60,3549.27,1.82185,1.24477,1.74898,0.7668,0.68399,0.78012,0.41325,1.68816,1.17159,1.73641,0.0008318,0.0008318,0.0008318
61,3609.73,1.79248,1.25053,1.74966,0.76143,0.69862,0.78603,0.43104,1.65688,1.17786,1.71585,0.000812,0.000812,0.000812
62,3669.18,1.80167,1.2594,1.7785,0.78765,0.6895,0.78256,0.42325,1.6637,1.15449,1.73583,0.0007922,0.0007922,0.0007922
63,3728.76,1.79399,1.24965,1.73648,0.75462,0.69475,0.78088,0.41856,1.64064,1.20531,1.68556,0.0007724,0.0007724,0.0007724
64,3789.56,1.7724,1.23652,1.74335,0.80284,0.6826,0.79063,0.43488,1.66342,1.17805,1.72076,0.0007526,0.0007526,0.0007526
65,3848.78,1.7404,1.21623,1.727,0.79633,0.70387,0.79743,0.43151,1.67268,1.13397,1.71866,0.0007328,0.0007328,0.0007328
66,3906.69,1.78445,1.2332,1.74619,0.78689,0.71519,0.80417,0.4433,1.62084,1.14072,1.69585,0.000713,0.000713,0.000713
67,3963.98,1.7346,1.23074,1.73199,0.82832,0.69838,0.80652,0.44741,1.62426,1.10434,1.69255,0.0006932,0.0006932,0.0006932
68,4021.1,1.74297,1.20786,1.75283,0.78755,0.71067,0.80963,0.44257,1.60446,1.09675,1.68028,0.0006734,0.0006734,0.0006734
69,4078.23,1.74111,1.20225,1.72237,0.80583,0.69705,0.80679,0.44331,1.60273,1.08755,1.66434,0.0006536,0.0006536,0.0006536
70,4134.91,1.75867,1.22419,1.73197,0.84216,0.69866,0.82235,0.46383,1.58044,1.06405,1.65307,0.0006338,0.0006338,0.0006338
71,4192.26,1.70407,1.21332,1.73655,0.79123,0.71926,0.81771,0.44947,1.59607,1.09012,1.66896,0.000614,0.000614,0.000614
72,4248.88,1.69531,1.17693,1.72116,0.80016,0.71022,0.80751,0.44917,1.59272,1.08971,1.66698,0.0005942,0.0005942,0.0005942
73,4307.5,1.72099,1.16079,1.67212,0.79954,0.71934,0.81636,0.44414,1.60784,1.07957,1.67515,0.0005744,0.0005744,0.0005744
74,4364.63,1.70695,1.17591,1.70234,0.8274,0.73099,0.83739,0.47455,1.54664,1.04921,1.61697,0.0005546,0.0005546,0.0005546
75,4422.26,1.71626,1.15458,1.66849,0.82991,0.71977,0.82268,0.4472,1.64504,1.07232,1.68671,0.0005348,0.0005348,0.0005348
76,4480.26,1.76386,1.19208,1.70668,0.79916,0.73177,0.82605,0.47629,1.53983,1.0583,1.60659,0.000515,0.000515,0.000515
77,4538.01,1.70019,1.13068,1.65271,0.80491,0.72072,0.81695,0.45348,1.60485,1.05849,1.66816,0.0004952,0.0004952,0.0004952
78,4595.69,1.68591,1.1518,1.67764,0.82797,0.73526,0.83946,0.4819,1.54098,1.00822,1.6119,0.0004754,0.0004754,0.0004754
79,4652.6,1.71755,1.18016,1.70636,0.82583,0.72127,0.82962,0.48419,1.51752,1.02009,1.61063,0.0004556,0.0004556,0.0004556
80,4709.57,1.66667,1.13922,1.66948,0.8161,0.74834,0.84445,0.48377,1.5268,1.03766,1.60697,0.0004358,0.0004358,0.0004358
81,4766.63,1.67708,1.17038,1.67101,0.82501,0.7442,0.84562,0.48371,1.53485,1.0053,1.60974,0.000416,0.000416,0.000416
82,4823.83,1.69756,1.15901,1.68258,0.83189,0.74362,0.84745,0.49271,1.50213,0.99802,1.59524,0.0003962,0.0003962,0.0003962
83,4882.19,1.63834,1.09304,1.62352,0.83236,0.73654,0.84617,0.48516,1.50201,1.01397,1.59699,0.0003764,0.0003764,0.0003764
84,4938.12,1.62651,1.13568,1.65439,0.83461,0.73327,0.84336,0.49403,1.50036,0.9899,1.58939,0.0003566,0.0003566,0.0003566
85,4995.53,1.63761,1.08851,1.62055,0.84208,0.72928,0.84435,0.49865,1.49131,0.98184,1.59106,0.0003368,0.0003368,0.0003368
86,5053.17,1.69797,1.13891,1.65205,0.83087,0.73826,0.84452,0.48839,1.5211,0.97161,1.59862,0.000317,0.000317,0.000317
87,5110.82,1.63455,1.07181,1.6337,0.82259,0.74972,0.85284,0.49349,1.50866,0.97618,1.58894,0.0002972,0.0002972,0.0002972
88,5167.59,1.63035,1.08353,1.62561,0.82312,0.75635,0.85776,0.50112,1.48107,0.97597,1.57458,0.0002774,0.0002774,0.0002774
89,5226.34,1.62483,1.07381,1.60849,0.83233,0.75147,0.85391,0.48909,1.51508,0.99345,1.60101,0.0002576,0.0002576,0.0002576
90,5283.78,1.6039,1.07613,1.62369,0.84381,0.75138,0.85878,0.50593,1.47632,0.97158,1.56602,0.0002378,0.0002378,0.0002378
91,5339.14,1.60138,1.16746,1.64222,0.84009,0.74282,0.85335,0.50137,1.49134,0.97691,1.57385,0.000218,0.000218,0.000218
92,5394.57,1.56592,1.11478,1.62395,0.8346,0.73204,0.83776,0.49422,1.51043,0.98617,1.58375,0.0001982,0.0001982,0.0001982
93,5450,1.57353,1.10464,1.62461,0.83767,0.74061,0.8511,0.50236,1.4835,0.959,1.56259,0.0001784,0.0001784,0.0001784
94,5505.1,1.53677,1.03662,1.60204,0.83853,0.75083,0.85982,0.50794,1.46169,0.94791,1.54841,0.0001586,0.0001586,0.0001586
95,5561.02,1.52103,1.03062,1.57099,0.84267,0.759,0.85993,0.50257,1.47706,0.95827,1.57022,0.0001388,0.0001388,0.0001388
96,5617.2,1.52578,1.03558,1.57261,0.83481,0.75608,0.85523,0.49886,1.48536,0.96541,1.56935,0.000119,0.000119,0.000119
97,5672.29,1.54715,1.04597,1.59012,0.84217,0.75829,0.86068,0.50682,1.46311,0.95576,1.54457,9.92e-05,9.92e-05,9.92e-05
98,5728.89,1.51522,1.01949,1.56652,0.8382,0.76298,0.86479,0.51317,1.44003,0.94317,1.53209,7.94e-05,7.94e-05,7.94e-05
99,5784.97,1.4967,1.00404,1.58028,0.84472,0.75886,0.8642,0.51407,1.43766,0.93978,1.53608,5.96e-05,5.96e-05,5.96e-05
100,5840.78,1.51191,1.01618,1.58502,0.84339,0.75425,0.86349,0.51604,1.43725,0.93337,1.53674,3.98e-05,3.98e-05,3.98e-05
