epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3203,3.835,3.55257,4.22713,0.00856,0.13702,0.008,0.0029,3.55998,3.58126,4.15551,0.00026,0.00026,0.00026
2,117.384,3.73357,3.18018,4.12405,0.00852,0.13812,0.00778,0.00286,3.55975,3.62857,4.14662,0.000534654,0.000534654,0.000534654
3,176.425,3.56892,2.87268,3.93252,0.00826,0.13867,0.01459,0.00508,3.57733,3.79302,4.16452,0.000803764,0.000803764,0.000803764
4,234.459,3.40811,2.68071,3.67613,0.00881,0.14972,0.00717,0.00298,3.62,4.02416,4.21374,0.00106733,0.00106733,0.00106733
5,291.975,3.33719,2.57616,3.416,0.00727,0.13011,0.00649,0.00242,3.65504,3.99273,4.22961,0.00132535,0.00132535,0.00132535
6,349.443,3.24913,2.48982,3.25753,0.02716,0.03315,0.00718,0.00291,3.81602,5.24629,4.58341,0.00157783,0.00157783,0.00157783
7,405.963,3.25505,2.52611,3.1333,0.02389,0.04199,0.00637,0.00256,3.96653,5.50681,4.46866,0.00182476,0.00182476,0.00182476
8,463.673,3.19712,2.41483,3.03223,0.02718,0.07238,0.01217,0.00468,3.67686,5.83912,3.96332,0.0018614,0.0018614,0.0018614
9,521.325,3.12002,2.41063,2.9499,0.0307,0.04641,0.00956,0.00386,3.81055,4.87356,4.21557,0.0018416,0.0018416,0.0018416
10,579.131,3.03477,2.3326,2.84644,0.067,0.13094,0.02913,0.01079,3.60178,4.55507,3.55575,0.0018218,0.0018218,0.0018218
11,636.682,3.02014,2.31965,2.80877,0.08286,0.14448,0.03622,0.01208,3.31714,2.94795,3.42804,0.001802,0.001802,0.001802
12,694.786,2.96488,2.26557,2.72516,0.10675,0.19282,0.05677,0.01862,3.1149,3.23311,3.04052,0.0017822,0.0017822,0.0017822
13,753.892,2.99669,2.28075,2.76193,0.10887,0.29365,0.06896,0.02542,2.98706,3.72432,2.88887,0.0017624,0.0017624,0.0017624
14,811.757,2.86732,2.26051,2.712,0.25902,0.29006,0.17914,0.0586,2.73822,2.82978,2.72169,0.0017426,0.0017426,0.0017426
15,871.736,2.81992,2.17945,2.61782,0.30182,0.32403,0.22251,0.07349,2.64511,2.36352,2.67527,0.0017228,0.0017228,0.0017228
16,932.183,2.79553,2.1296,2.57479,0.30377,0.28564,0.21106,0.07404,2.59524,2.45805,2.59402,0.001703,0.001703,0.001703
17,992.663,2.71538,2.07519,2.44853,0.32445,0.34613,0.24132,0.07864,2.51372,2.52676,2.50155,0.0016832,0.0016832,0.0016832
18,1054.18,2.66276,2.04027,2.45218,0.35233,0.32403,0.25975,0.09621,2.4495,2.853,2.44185,0.0016634,0.0016634,0.0016634
19,1114.94,2.6003,2.0364,2.39616,0.31941,0.40884,0.28796,0.10608,2.36188,2.81959,2.38203,0.0016436,0.0016436,0.0016436
20,1173.36,2.50945,2.02219,2.39991,0.2505,0.36188,0.23901,0.08787,2.42976,2.56531,2.49236,0.0016238,0.0016238,0.0016238
21,1233.14,2.44782,1.9536,2.34524,0.40084,0.41249,0.34794,0.1323,2.26097,2.46669,2.2598,0.001604,0.001604,0.001604
22,1292.65,2.47616,1.94305,2.34176,0.42754,0.4384,0.38019,0.14804,2.23059,1.9459,2.25572,0.0015842,0.0015842,0.0015842
23,1352.7,2.36916,1.81755,2.24216,0.49935,0.40497,0.40874,0.15249,2.2803,2.10485,2.25661,0.0015644,0.0015644,0.0015644
